Series,Date,Total Count,Positive,Neutral,Negative,Source,Country
Firstpost-IPSOS,2023-02-15 00:00:00,,67.0,,,Approval Rating of PM Narendra Modi soars to 75% in Feb 2024 – a 10% jump from Sept 2023 wave: Ipsos IndiaBus Survey | Ipsos,India
Firstpost-IPSOS,2024-09-15 00:00:00,,65.0,,,Approval Rating of PM Narendra Modi soars to 75% in Feb 2024 – a 10% jump from Sept 2023 wave: Ipsos IndiaBus Survey | Ipsos,India
Firstpost-IPSOS,2024-02-15 00:00:00,,75.0,,,Approval Rating of PM Narendra Modi soars to 75% in Feb 2024 – a 10% jump from Sept 2023 wave: Ipsos IndiaBus Survey | Ipsos,India
GALLUPWORLD_LDR,2025.0,3058.0,74.0,,20.0,https://docs.google.com/spreadsheets/d/1b8ctKb4iBpuO26QFEHqHspeQwGDiTIMa/edit?usp=sharing&ouid=103621415253554080783&rtpof=true&sd=true,India
GALLUPWORLD_LSHP,2021-01-26 00:00:00,9453.0,76.0,,21.0,https://analyticscampus-gallup-com.proxyiub.uits.iu.edu/Tables,India
GALLUPWORLD_LSHP,2021-10-14 00:00:00,3000.0,66.0,,27.0,GallupAnalytics_Export_20240723_084745,India
GALLUPWORLD_LSHP,2022-10-18 00:00:00,3000.0,74.0,,24.0,GallupAnalytics_Export_20240723_084745,India
GALLUPWORLD_LSHP,2023-12-27 00:00:00,3009.0,68.0,,22.0,GallupAnalytics_Export_20240723_084745,India
IPSOS,2024-05-15 00:00:00,,70.0,,,https://www.ipsos.com/en-in/indiabus/slight-dip-may-2024-yet-mr-modi-gets-high-approval-rating-70-showing-citizens-rate-him-high,India
IPSOS,2024-11-15 00:00:00,,70.0,,,https://www.ipsos.com/en-in/indiabus/pm-modis-approval-rating-ar-remains-steady-70-november-2024-ipsos-indiabus-pm-modis-approval-rating,India
ITG-CVoter GOV,2010-08-15 00:00:00,,32.0,39.0,26.0,UPA performance Manmohan Singh time,India
ITG-CVoter GOV,2011-08-15 00:00:00,,30.0,44.0,23.0,UPA performance Manmohan Singh time,India
ITG-CVoter GOV,2012-08-15 00:00:00,,18.0,53.0,24.0,UPA performance Manmohan Singh time,India
ITG-CVoter GOV,2013-01-15 00:00:00,,26.0,42.0,27.0,UPA performance Manmohan Singh time,India
ITG-CVoter GOV,2013-08-15 00:00:00,,21.0,27.0,45.0,UPA performance Manmohan Singh time,India
ITG-CVoter GOV,2014-01-15 00:00:00,,19.0,26.0,47.0,UPA performance Manmohan Singh time,India
ITG-CVoter PM,2010-08-15 00:00:00,,35.0,38.0,22.0,PM Performance ManMohan singh,India
ITG-CVoter PM,2011-01-15 00:00:00,,45.0,37.0,12.0,PM Performance ManMohan singh,India
ITG-CVoter PM,2012-01-15 00:00:00,,31.0,37.0,25.0,PM Performance ManMohan singh,India
ITG-CVoter PM,2012-08-15 00:00:00,,29.0,47.0,21.0,PM Performance ManMohan singh,India
ITG-CVoter PM,2013-01-15 00:00:00,,29.0,39.0,27.0,PM Performance ManMohan singh,India
ITG-CVoter PM,2013-08-15 00:00:00,,23.0,26.0,45.0,PM Performance ManMohan singh,India
ITG-CVoter PM,2014-01-15 00:00:00,,26.0,25.0,42.0,PM Performance ManMohan singh,India
ITG-KI MOTN GOV,2016-07-27 00:00:00,12321.0,55.0,32.0,12.0,https://www.indiatoday.in/magazine/cover-story/story/20160829-mood-of-the-nation-india-today-karvy-insights-survey-narendra-modi-829445-2016-08-17,India
ITG-KI MOTN GOV,2018-01-15 00:00:00,,60.0,24.0,15.0,ITG KI MOTN NDA PERFORMANCE,India
ITG-KI MOTN GOV,2018-07-15 00:00:00,12100.0,56.0,22.0,20.0,https://www.indiatoday.in/magazine/cover-story/story/20180827-on-a-slippery-slope-1315660-2018-08-18,India
ITG-KI MOTN GOV,2019-01-08 00:00:00,12166.0,54.0,23.0,21.0,https://www.indiatoday.in/magazine/web-exclusive/story/20190204-motn-poll-nda-government-overall-performance-1439403-2019-01-25,India
ITG-KI MOTN GOV,2019-08-15 00:00:00,,69.0,19.0,11.0,ITG KI MOTN NDA PERFORMANCE,India
ITG-KI MOTN GOV,2020-01-15 00:00:00,,62.0,20.0,13.0,ITG KI MOTN NDA PERFORMANCE,India
ITG-KI MOTN GOV,2020-07-27 00:00:00,12021.0,72.0,19.0,8.0,https://www.indiatoday.in/mood-of-the-nation/story/72-happy-with-modi-government-s-performance-mood-of-the-nation-poll-1708945-2020-08-07,India
ITG-KI MOTN GOV,2021-01-15 00:00:00,,66.0,21.0,11.0,ITG KI MOTN NDA PERFORMANCE,India
ITG-KI MOTN GOV,2022-01-20 00:00:00,,58.7,12.2,25.6,https://www.indiatoday.in/mood-of-the-nation/story/motn-survey-modi-on-top-but-challenges-persist-as-bjp-cms-score-low-mamata-rahul-gandhi-kejriwal-1902609-2022-01-21,India
ITG-KI MOTN GOV,2025-08-14 00:00:00,,52.4,15.3,2.7,https://www.indiatoday.in/mood-of-the-nation/story/pm-modis-popularity-plateaus-drop-for-nda-suggests-mood-of-the-nation-2778351-2025-08-28,India
ITG-KI MOTN PM,2016-07-27 00:00:00,12321.0,53.0,35.0,9.0,https://www.indiatoday.in/magazine/cover-story/story/20160829-mood-of-the-nation-india-today-karvy-insights-survey-narendra-modi-829445-2016-08-17,India
ITG-KI MOTN PM,2018-01-15 00:00:00,,61.0,25.0,13.0,ITG KI MOTN PM SATISFACTION,India
ITG-KI MOTN PM,2018-07-15 00:00:00,12100.0,55.0,25.0,18.0,https://www.indiatoday.in/magazine/web-exclusive/story/20190204-motn-poll-nda-government-overall-performance-1439403-2019-01-25,India
ITG-KI MOTN PM,2019-01-08 00:00:00,12166.0,54.0,24.0,20.0,https://www.indiatoday.in/magazine/web-exclusive/story/20190204-motn-poll-pm-narendra-modi-performance-1439368-2019-01-25,India
ITG-KI MOTN PM,2019-08-15 00:00:00,,71.0,19.0,9.0,ITG KI MOTN PM SATISFACTION,India
ITG-KI MOTN PM,2019-12-31 00:00:00,12141.0,68.0,19.0,13.0,https://www.indiatoday.in/mood-of-the-nation/video/pm-modi-remains-popular-leader-india-today-s-mood-of-the-nation-poll-1639594-2020-01-23,India
ITG-KI MOTN PM,2020-07-27 00:00:00,12021.0,78.0,17.0,5.0,https://www.indiatoday.in/india/story/mood-of-the-nation-pm-modi-still-king-of-indian-politics-with-78-per-cent-approval-rating-1708943-2020-08-07,India
ITG-KI MOTN PM,2021-01-13 00:00:00,12232.0,74.0,17.0,6.0,ITG KI MOTN PM SATISFACTION,India
ITG-KI MOTN PM,2022-01-20 00:00:00,,62.8,,20.5,https://www.indiatoday.in/mood-of-the-nation/story/motn-survey-modi-on-top-but-challenges-persist-as-bjp-cms-score-low-mamata-rahul-gandhi-kejriwal-1902609-2022-01-21,India
ITG-KI MOTN PM,2023-01-15 00:00:00,,72.0,10.0,16.0,https://www.indiatoday.in/magazine/cover-story/story/20230206-mood-of-the-nation-poll-narendra-modi-all-the-way-2327064-2023-01-27,India
ITG-KI MOTN PM,2024-08-15 00:00:00,,58.6,,,https://www.indiatoday.in/india-today-insight/story/india-today-mood-of-the-nation-poll-modi-steady-rahul-emerges-2588207-2024-08-26,India
ITG-KI MOTN PM,2025-08-14 00:00:00,,58.0,,26.4,https://www.indiatoday.in/mood-of-the-nation/story/pm-modis-popularity-plateaus-drop-for-nda-suggests-mood-of-the-nation-2778351-2025-08-28,India
LOKNITI CSDS GOV,1996-03-15 00:00:00,9697.0,54.4,,24.0,https://www.lokniti.org/media/PDF-upload/1536131212_38062000_download_report.pdf,India
LOKNITI CSDS GOV,1999-11-15 00:00:00,9418.0,52.6,,25.1,https://www.lokniti.org/media/PDF-upload/1536129197_98786700_download_report.pdf,India
LOKNITI CSDS GOV,2004-12-18 00:00:00,27189.0,57.2,,28.0,https://www.lokniti.org/media/PDF-upload/1536129143_52791100_download_report.pdf,India
LOKNITI CSDS GOV,2009-09-26 00:00:00,36636.0,64.7,,20.5,https://www.lokniti.org/media/PDF-upload/1536218444_21623000_download_report.pdf,India
LOKNITI CSDS GOV,2013-07-05 00:00:00,19062.0,38.0,,39.7,https://www.lokniti.org/media/PDF-upload/1536927349_77426500_download_report.pdf,India
LOKNITI CSDS GOV,2014-01-15 00:00:00,18596.0,34.7,,49.5,https://www.lokniti.org/media/PDF-upload/1536927374_52905400_download_report.pdff,India
LOKNITI CSDS GOV,2014-03-25 00:00:00,20951.0,47.0,,43.0,https://www.lokniti.org/media/PDF-upload/1536927390_2768500_download_report.pdf,India
LOKNITI CSDS GOV,2019-03-31 00:00:00,10010.0,60.9,,32.3,https://www.lokniti.org/media/PDF-upload/1570173782_98991600_download_report.pdf,India
LOKNITI CSDS GOV,2019-05-21 00:00:00,24235.0,65.0,,30.4,https://www.lokniti.org/media/PDF-upload/1579771857_30685900_download_report.pdf,India
LOKNITI CSDS PM,1980-12-15 00:00:00,3790.0,31.0,34.5,34.6,https://www.lokniti.org/media/PDF-upload/1537164899_76539000_download_report.pdf,India
LOKNITI CSDS PM,2013-07-05 00:00:00,19062.0,48.6,,31.9,https://www.lokniti.org/media/PDF-upload/1536927349_77426500_download_report.pdf,India
LOKNITI CSDS PM,2014-01-15 00:00:00,18596.0,40.9,,42.9,https://www.lokniti.org/media/PDF-upload/1536927374_52905400_download_report.pdf,India
LOKNITI CSDS PM LIKE,2023-05-19 00:00:00,7202.0,39.5,24.7,23.1,https://lokniti.org/media/upload_files/Social-and-Political-Barometer-2023-Survey-findings.pdf,India
LOKNITI CSDS PM PER,1971-02-15 00:00:00,3798.0,43.8,27.0,29.0,https://www.lokniti.org/media/PDF-upload/1536314741_55699000_download_report.pdf,India
LOKNITI SOTN GOV,2006-01-15 00:00:00,15153.0,61.4,,15.9,http://www.lokniti.org/media/upload_files/Marginals%20Jan%202006%20SOTN.pdf,India
LOKNITI SOTN GOV,2006-08-15 00:00:00,14786.0,58.1,,21.6,http://www.lokniti.org/media/upload_files/Marginals%20Aug%202006%20SOTN.pdf,India
LOKNITI SOTN GOV,2011-07-31 00:00:00,20787.0,49.5,,29.4,http://www.lokniti.org/media/upload_files/Marginals%20Aug%202011%20SOTN.pdf,India
LOKNITI SOTN PM,2006-01-15 00:00:00,15153.0,20.2,,68.3,http://www.lokniti.org/media/upload_files/Marginals%20Jan%202006%20SOTN.pdf,India
LOKNITI SOTN PM,2006-08-15 00:00:00,14786.0,60.5,,18.3,http://www.lokniti.org/media/upload_files/Marginals%20Aug%202006%20SOTN.pdf,India
LOKNITI SOTN PM,2011-07-31 00:00:00,20787.0,55.6,,24.0,http://www.lokniti.org/media/upload_files/Marginals%20Aug%202011%20SOTN.pdff,India
LOKNITI-MOTN,2017-05-15 00:00:00,11373.0,64.0,,27.0,https://www.lokniti.org/otherstudies/lokniti-csds-abp-news-mood-of-the-nation-survey-round-2-19,India
LOKNITI-MOTN,2018-01-20 00:00:00,14336.0,51.0,,40.0,https://www.lokniti.org/otherstudies/lokniti-csds-abp-news-mood-of-the-nation-survey-round-2-19,India
LOKNITI-MOTN,2018-05-17 00:00:00,15859.0,47.0,,47.0,https://www.lokniti.org/otherstudies/lokniti-csds-abp-news-mood-of-the-nation-survey-round-3-18,India
MorningConsult,2019-08-07 00:00:00,3000.0,82.0,,13.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-08-14 00:00:00,3000.0,82.0,,13.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-08-21 00:00:00,3000.0,81.0,,16.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-08-28 00:00:00,3000.0,80.0,,16.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-09-04 00:00:00,3000.0,79.0,,18.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-09-11 00:00:00,3000.0,81.0,,15.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-09-18 00:00:00,3000.0,80.0,,16.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-09-25 00:00:00,3000.0,81.0,,16.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-10-02 00:00:00,3000.0,79.0,,18.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-10-19 00:00:00,3000.0,77.0,,19.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-10-26 00:00:00,3000.0,78.0,,17.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-11-02 00:00:00,3000.0,75.0,,20.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-11-19 00:00:00,3000.0,76.0,,18.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-11-26 00:00:00,3000.0,77.0,,18.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-12-03 00:00:00,3000.0,74.0,,20.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-12-10 00:00:00,3000.0,76.0,,19.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-12-17 00:00:00,3000.0,75.0,,19.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-12-24 00:00:00,3000.0,73.0,,21.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2019-12-31 00:00:00,3000.0,77.0,,19.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2020-01-07 00:00:00,3000.0,76.0,,19.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-01-14 00:00:00,3000.0,72.0,,22.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-01-21 00:00:00,3000.0,76.0,,20.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-01-28 00:00:00,3000.0,75.0,,20.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-02-04 00:00:00,3000.0,77.0,,17.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-02-11 00:00:00,3000.0,73.0,,21.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-02-18 00:00:00,3000.0,70.0,,24.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-02-25 00:00:00,3000.0,71.0,,23.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-03-03 00:00:00,3000.0,72.0,,23.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-03-10 00:00:00,3000.0,70.0,,23.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-03-17 00:00:00,3000.0,74.0,,21.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-03-24 00:00:00,3000.0,76.0,,19.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-03-31 00:00:00,3000.0,82.0,,14.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-04-07 00:00:00,3000.0,80.0,,15.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-04-14 00:00:00,3000.0,81.0,,16.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-04-21 00:00:00,3000.0,83.0,,14.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-04-28 00:00:00,3000.0,82.0,,14.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-05-05 00:00:00,3000.0,82.0,,13.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-05-12 00:00:00,3000.0,80.0,,15.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-05-19 00:00:00,3000.0,82.0,,15.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-05-26 00:00:00,3000.0,81.0,,15.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-06-02 00:00:00,3000.0,78.0,,18.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-06-09 00:00:00,3000.0,75.0,,19.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-06-16 00:00:00,3000.0,75.0,,21.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-06-23 00:00:00,3000.0,77.0,,19.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-06-30 00:00:00,3000.0,74.0,,21.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-07-07 00:00:00,3000.0,77.0,,18.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-07-14 00:00:00,3000.0,76.0,,24.0,https://MorningConsult.com/form/coronavirus-outbreak-tracker/,India
MorningConsult,2020-07-28 00:00:00,3000.0,77.0,,19.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2020-08-04 00:00:00,3000.0,75.0,,19.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2020-08-11 00:00:00,3000.0,78.0,,18.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
MorningConsult,2020-08-18 00:00:00,3000.0,76.0,,19.0,https://MorningConsult.com/form/global-leader-approval/?mkt_tok=eyJpIjoiWkRnd05XUXlOVFZqT1dWaCIsInQiOiJBYnZQTHVSYjlnU1o3bUxXenNuWkRUdjFwaGtTaFZXb2NJekx5Ujlhdk5ybHl5eFlOY2ZIZXRONWNOa0E2Y2o1OW5CajRUK0k5S0hWZW0ra3NYS29FYXNGbEN4cmNjMFBIcWFkVmxVa0hwbW0xY2ZCdVJ1YWRqZzNCck41dkF4QiJ9,India
